model,seed,temperature_K,n,target,r2
IDP-ESM2-8M,42,288,1025,nu,0.7390661239624023
IDP-ESM2-8M,42,288,1025,delta,0.7606170177459717
IDP-ESM2-8M,42,288,1025,a0,0.48354947566986084
IDP-ESM2-8M,42,300,1025,rg,0.425534725189209
IDP-ESM2-8M,42,300,1025,ree,0.41841185092926025
IDP-ESM2-8M,42,300,1025,nu,0.4813457727432251
IDP-ESM2-8M,42,300,1025,delta,0.47734534740448
IDP-ESM2-8M,42,300,1025,a0,0.3448927402496338
IDP-ESM2-8M,42,310,1025,rg,0.8869065642356873
IDP-ESM2-8M,42,310,1025,ree,0.8725123405456543
IDP-ESM2-8M,42,310,1025,nu,0.7384099364280701
IDP-ESM2-8M,42,310,1025,delta,0.7567959427833557
IDP-ESM2-8M,42,310,1025,a0,0.48665744066238403
IDP-ESM2-8M,42,320,1025,rg,0.7950913906097412
IDP-ESM2-8M,42,320,1025,ree,0.7831062078475952
IDP-ESM2-8M,42,320,1025,nu,0.7140297293663025
IDP-ESM2-8M,42,320,1025,delta,0.7427064180374146
IDP-ESM2-8M,42,320,1025,a0,0.46306341886520386
IDP-ESM2-8M,67,278,1025,rg,0.8965979218482971
IDP-ESM2-8M,67,278,1025,ree,0.8746631145477295
IDP-ESM2-8M,67,278,1025,nu,0.7663077712059021
IDP-ESM2-8M,67,278,1025,delta,0.7757481336593628
IDP-ESM2-8M,67,278,1025,a0,0.5706453323364258
IDP-ESM2-8M,67,288,1025,rg,0.9007622599601746
IDP-ESM2-8M,67,288,1025,ree,0.8845112323760986
IDP-ESM2-8M,67,288,1025,nu,0.7837648391723633
IDP-ESM2-8M,67,288,1025,delta,0.7803139090538025
IDP-ESM2-8M,67,288,1025,a0,0.5749342441558838
IDP-ESM2-8M,67,300,1025,rg,0.4143943190574646
IDP-ESM2-8M,67,300,1025,ree,0.40722042322158813
IDP-ESM2-8M,67,300,1025,nu,0.5345642566680908
IDP-ESM2-8M,67,300,1025,delta,0.5018507242202759
IDP-ESM2-8M,67,300,1025,a0,0.42267733812332153
IDP-ESM2-8M,67,310,1025,rg,0.8968951106071472
IDP-ESM2-8M,67,310,1025,ree,0.8831189274787903
IDP-ESM2-8M,67,310,1025,nu,0.771856427192688
IDP-ESM2-8M,67,310,1025,delta,0.7618516087532043
IDP-ESM2-8M,67,310,1025,a0,0.5754863023757935
IDP-ESM2-8M,67,320,1025,rg,0.802476167678833
IDP-ESM2-8M,67,320,1025,ree,0.7905764579772949
IDP-ESM2-8M,67,320,1025,nu,0.7415722608566284
IDP-ESM2-8M,67,320,1025,delta,0.7462764978408813
IDP-ESM2-8M,67,320,1025,a0,0.542827308177948
IDP-ESM2-8M,93,278,1025,rg,0.8887249827384949
IDP-ESM2-8M,93,278,1025,ree,0.8636685609817505
IDP-ESM2-8M,93,278,1025,nu,0.6958078145980835
IDP-ESM2-8M,93,278,1025,delta,0.7436965107917786
IDP-ESM2-8M,93,278,1025,a0,0.4649949073791504
IDP-ESM2-8M,93,288,1025,rg,0.8911752104759216
IDP-ESM2-8M,93,288,1025,ree,0.872104823589325
IDP-ESM2-8M,93,288,1025,nu,0.7182714939117432
IDP-ESM2-8M,93,288,1025,delta,0.7498364448547363
